,a,b,c,d,f,g,l,m,p,portfolioreturn,portfoliostandarddeviation,s,w,returnoverrisk
374,0.0135,0.0265,0.015,0.046,0.018,0.0485,0.0425,0.0345,0.034,0.0105528650357,0.00271653734688,0.0465,0.014,3.88467511693
375,0.029,0.03,0.0325,0.0275,0.0415,0.013,0.0135,0.013,0.023,0.0399141286873,0.00225395520716,0.0345,0.0345,17.7084835406
376,0.023,0.032,0.0355,0.031,0.016,0.025,0.0295,0.0305,0.0245,0.0365223426905,0.00245120172451,0.0325,0.0335,14.8997703148
377,0.029,0.024,0.012,0.039,0.034,0.0425,0.0155,0.021,0.046,0.0325892294249,0.0028601072736,0.0435,0.042,11.3944080789
378,0.0455,0.0115,0.0155,0.0245,0.029,0.0295,0.01,0.0485,0.037,0.00779422530371,0.00239930337776,0.042,0.0205,3.24853679445
379,0.017,0.0475,0.032,0.015,0.0235,0.0495,0.0365,0.0285,0.027,0.0397269310932,0.00271746865391,0.035,0.0275,14.619094515
380,0.0115,0.048,0.0415,0.042,0.0345,0.016,0.0495,0.0335,0.0495,0.0219153682081,0.00300570690029,0.0285,0.023,7.29125258554
381,0.021,0.0465,0.0215,0.021,0.02,0.046,0.0455,0.015,0.014,0.0613537559953,0.00305369437628,0.0445,0.0475,20.0916491421
382,0.023,0.036,0.049,0.0415,0.0265,0.0125,0.027,0.0315,0.0305,0.0313165990744,0.00238306686896,0.027,0.0265,13.1413010194
383,0.018,0.0245,0.0375,0.0195,0.0485,0.043,0.014,0.023,0.0255,0.0240147821151,0.00232260823619,0.042,0.0185,10.3395750264
384,0.0405,0.0165,0.014,0.048,0.0475,0.0125,0.0295,0.046,0.044,-0.00402315128917,0.00263967546443,0.0435,0.011,-1.52410830171
385,0.029,0.043,0.016,0.041,0.021,0.0415,0.0375,0.0455,0.0395,0.0306625638552,0.00271465681439,0.0215,0.031,11.2951897612
386,0.022,0.0185,0.014,0.015,0.043,0.011,0.035,0.0195,0.0325,0.0197368630634,0.00227916081752,0.0255,0.0285,8.65970620048
387,0.0105,0.0245,0.0135,0.023,0.045,0.034,0.0465,0.0195,0.013,0.0189789464446,0.00214844752814,0.0275,0.013,8.83379565756
388,0.0405,0.0385,0.0435,0.048,0.0115,0.018,0.0445,0.0135,0.0355,0.0404232718995,0.00255828889377,0.017,0.024,15.8009019224
389,0.0365,0.046,0.016,0.0435,0.0185,0.0105,0.0105,0.022,0.0455,0.0398031380315,0.00256133473205,0.0285,0.0415,15.5399985537
390,0.011,0.0295,0.0495,0.0465,0.0385,0.029,0.046,0.036,0.019,0.0344929990362,0.00293939241595,0.0465,0.0325,11.7347377128
391,0.0155,0.0155,0.0225,0.0195,0.0105,0.0255,0.036,0.01,0.0435,0.0192703792418,0.0025352767395,0.0345,0.0275,7.60089774087
392,0.0295,0.041,0.0225,0.026,0.0105,0.035,0.0275,0.0265,0.027,0.0457607568555,0.00284643700263,0.047,0.0415,16.0765043502
393,0.025,0.0245,0.0115,0.013,0.015,0.02,0.0235,0.0225,0.011,0.0356332656009,0.00215472810414,0.038,0.0355,16.5372445518
394,0.0415,0.018,0.029,0.0195,0.0235,0.032,0.022,0.011,0.0245,0.0367829598148,0.0024220689731,0.0415,0.0295,15.1865864364
395,0.049,0.0185,0.0415,0.0285,0.015,0.0215,0.0345,0.034,0.016,0.0251698250142,0.00216028836316,0.0265,0.013,11.6511413214
396,0.036,0.044,0.0475,0.031,0.025,0.0385,0.012,0.0135,0.0445,0.0396752531958,0.00266358267355,0.0345,0.024,14.8954464938
397,0.025,0.026,0.016,0.037,0.0195,0.0175,0.0135,0.0385,0.0415,0.0182407672382,0.0022484172484,0.0265,0.031,8.11271451115
398,0.0315,0.046,0.027,0.016,0.0395,0.0435,0.013,0.0195,0.032,0.0452148176238,0.00253232645586,0.033,0.033,17.8550508443
399,0.0195,0.0245,0.0315,0.0415,0.023,0.0435,0.0375,0.022,0.0385,0.0311021705731,0.00269805688228,0.0305,0.031,11.527618553
400,0.044,0.011,0.013,0.038,0.016,0.0335,0.0325,0.03,0.0235,0.0363322123826,0.00239404152946,0.0235,0.0395,15.1760994684
401,0.028,0.0395,0.0105,0.0405,0.0275,0.042,0.046,0.0345,0.0185,0.0264208226499,0.00272919323663,0.0475,0.0185,9.68081786785
402,0.0295,0.0365,0.0385,0.046,0.0275,0.032,0.0465,0.03,0.0445,0.0396286255173,0.00293753071182,0.014,0.0365,13.4904548769
403,0.023,0.0145,0.0295,0.029,0.022,0.043,0.04,0.017,0.0165,0.0363986917321,0.00265430045246,0.046,0.0325,13.7131015814
404,0.019,0.0225,0.03,0.018,0.031,0.026,0.0135,0.039,0.02,0.0332104348153,0.00250137723987,0.044,0.041,13.2768597579
405,0.0255,0.027,0.0325,0.0265,0.0465,0.03,0.0295,0.016,0.0355,0.0386411574238,0.00300171530666,0.049,0.0405,12.8730254125
406,0.0455,0.037,0.0445,0.0135,0.043,0.0145,0.02,0.0115,0.019,0.0627333213131,0.00264899560236,0.0285,0.0475,23.6819273151
407,0.0425,0.043,0.0365,0.0375,0.038,0.0355,0.013,0.0375,0.0415,0.0276655265844,0.00244101195187,0.023,0.0175,11.3336301214
408,0.0105,0.0105,0.023,0.038,0.011,0.018,0.02,0.033,0.0245,0.0148864125278,0.00172607451924,0.0185,0.0255,8.62443212147
409,0.024,0.0325,0.017,0.0195,0.0155,0.0145,0.0135,0.0105,0.017,0.0301877758831,0.00159470130105,0.0235,0.0205,18.9300503256
410,0.0345,0.012,0.0255,0.0475,0.0375,0.04,0.036,0.038,0.0395,0.0176940336918,0.00245931205804,0.0155,0.023,7.19470863161
411,0.0265,0.037,0.0115,0.027,0.023,0.0115,0.039,0.0455,0.0125,0.0452795163802,0.00241257042065,0.01,0.048,18.768163612
412,0.0265,0.0325,0.0495,0.012,0.037,0.0425,0.0285,0.021,0.046,0.0441197519001,0.00283631498826,0.0155,0.0385,15.555307532
413,0.0145,0.0495,0.0455,0.0235,0.0125,0.0475,0.021,0.029,0.0365,0.0427714588472,0.00274144753296,0.035,0.0325,15.6017791086
414,0.031,0.048,0.017,0.016,0.0385,0.0425,0.0245,0.014,0.032,0.0382552476203,0.00261135041059,0.041,0.025,14.6496033107
415,0.024,0.0465,0.0205,0.0455,0.0335,0.0295,0.0155,0.0315,0.027,0.0263723706565,0.00189566169419,0.017,0.0155,13.911960524
416,0.032,0.039,0.013,0.0175,0.031,0.01,0.012,0.0465,0.0465,0.021634081464,0.00257532862652,0.031,0.036,8.40051294471
417,0.036,0.0295,0.04,0.0345,0.036,0.037,0.049,0.0215,0.011,0.0549669176469,0.00281485788169,0.0285,0.039,19.5274219719
418,0.024,0.027,0.0235,0.018,0.031,0.014,0.0135,0.036,0.0245,0.0173953386002,0.00213109326265,0.04,0.022,8.16263600708
419,0.0175,0.0395,0.022,0.0115,0.0195,0.022,0.043,0.045,0.0295,0.0349251616768,0.00287991631344,0.0335,0.0425,12.1271446374
420,0.0275,0.0425,0.017,0.012,0.015,0.034,0.042,0.046,0.0345,0.0203050001861,0.00273908687552,0.036,0.0205,7.41305446261
421,0.019,0.0165,0.022,0.0385,0.014,0.0435,0.04,0.0435,0.042,0.00630942208349,0.00244336348065,0.0205,0.015,2.58226912756
422,0.0195,0.0285,0.025,0.0355,0.023,0.031,0.016,0.0275,0.016,0.0515535726669,0.00215880252337,0.01,0.049,23.880633874
423,0.0395,0.027,0.014,0.017,0.0185,0.0455,0.0265,0.0195,0.0305,0.0443871114052,0.00282923651122,0.0435,0.0425,15.6887242297
424,0.0305,0.0445,0.0205,0.0275,0.046,0.041,0.0235,0.0255,0.0495,0.0309947766945,0.00279575296843,0.0305,0.0285,11.0863788913
425,0.038,0.0235,0.0375,0.049,0.041,0.0305,0.03,0.038,0.01,0.0398176303265,0.00219686089988,0.016,0.029,18.1247844725
426,0.011,0.0345,0.023,0.02,0.011,0.0345,0.0175,0.044,0.026,0.0183949802859,0.00206721583555,0.0305,0.0205,8.89843235989
427,0.042,0.025,0.023,0.0175,0.0365,0.0365,0.0215,0.0225,0.044,0.0286310456234,0.00239218746314,0.0165,0.0265,11.9685626919
428,0.0395,0.018,0.014,0.0435,0.018,0.0295,0.0185,0.04,0.036,0.0098507093521,0.00227839751683,0.037,0.0165,4.32352531959
429,0.0145,0.0195,0.0375,0.0235,0.034,0.0335,0.039,0.0355,0.0355,0.0155769820792,0.00247988425703,0.025,0.02,6.28133431433
430,0.012,0.0135,0.02,0.0185,0.044,0.012,0.041,0.0395,0.048,-0.00578372745869,0.00281164111366,0.045,0.018,-2.05706461987
431,0.031,0.011,0.0455,0.028,0.0455,0.0455,0.04,0.023,0.039,0.0258673652431,0.0026232218585,0.0165,0.0225,9.86091403565
432,0.0395,0.0295,0.018,0.0105,0.017,0.0465,0.031,0.014,0.0125,0.0605081355737,0.00266901853878,0.0335,0.048,22.6705564965
433,0.016,0.0355,0.037,0.024,0.017,0.032,0.0495,0.0465,0.0115,0.0241602228977,0.00257312508585,0.0375,0.0165,9.38944749736
434,0.0135,0.0395,0.0465,0.01,0.0435,0.0245,0.0175,0.0135,0.038,0.0360299099699,0.00239019390285,0.024,0.029,15.0740531665
435,0.042,0.014,0.0345,0.0405,0.0295,0.016,0.041,0.0165,0.027,0.0200560245825,0.00223356036852,0.025,0.0125,8.97939669112
436,0.0265,0.0305,0.0105,0.019,0.0105,0.03,0.0285,0.0275,0.047,0.0232920184196,0.00253005376723,0.0255,0.031,9.20613574353
437,0.022,0.048,0.013,0.0125,0.0185,0.023,0.049,0.0105,0.0285,0.0553551481806,0.00270882467935,0.01,0.047,20.4351166034
438,0.0345,0.036,0.0175,0.0335,0.029,0.0205,0.0135,0.0455,0.049,0.0199614118947,0.00233584038056,0.014,0.0285,8.54570888529
439,0.048,0.018,0.018,0.0215,0.032,0.031,0.025,0.0205,0.027,0.0241732438145,0.00210998031263,0.0265,0.0175,11.4566205522
440,0.045,0.016,0.0365,0.036,0.0265,0.0285,0.037,0.025,0.027,0.047116809443,0.00282060556578,0.029,0.0455,16.7045013364
441,0.0325,0.047,0.0435,0.0385,0.0185,0.023,0.0115,0.0395,0.029,0.0395004400422,0.00255759432558,0.0385,0.0315,15.4443727245
442,0.0445,0.0345,0.0335,0.0105,0.0105,0.015,0.039,0.0375,0.0135,0.0326706096689,0.00222580060689,0.0235,0.0195,14.6781385393
443,0.032,0.0345,0.047,0.018,0.046,0.0375,0.0275,0.0205,0.042,0.0532084469937,0.00300189633036,0.021,0.048,17.7249448809
444,0.0185,0.031,0.033,0.019,0.0415,0.0275,0.032,0.0315,0.0225,0.0421305794122,0.00251932353301,0.022,0.0415,16.7229729966
445,0.0205,0.0325,0.0325,0.0245,0.0365,0.042,0.0355,0.025,0.014,0.0553462749063,0.00263809461086,0.0225,0.0465,20.9796398804
446,0.026,0.041,0.024,0.048,0.028,0.024,0.046,0.045,0.0135,0.0344070093377,0.00239470686833,0.019,0.0265,14.3679419777
447,0.022,0.0365,0.0245,0.0215,0.0235,0.0105,0.011,0.0115,0.029,0.0414558475023,0.00198492913889,0.0155,0.0375,20.8853035054
448,0.0465,0.017,0.0465,0.023,0.025,0.017,0.045,0.0105,0.0205,0.0443478598609,0.0028256138578,0.042,0.034,15.6949470425
449,0.028,0.013,0.0435,0.0395,0.0425,0.0185,0.046,0.039,0.0495,0.0294812759003,0.00331335062044,0.0315,0.0475,8.89772296309
450,0.025,0.047,0.0315,0.0175,0.023,0.0255,0.025,0.013,0.0405,0.0398123302608,0.00236045592086,0.0155,0.029,16.8663731057
451,0.0185,0.035,0.0475,0.0235,0.0255,0.0495,0.0255,0.0395,0.0205,0.0380843780925,0.0027517631282,0.0455,0.03,13.839991423
452,0.0175,0.01,0.0105,0.0205,0.024,0.0135,0.0195,0.017,0.0215,0.0299496801631,0.00210300536549,0.0295,0.042,14.2413712559
453,0.0375,0.0475,0.028,0.0455,0.015,0.0225,0.013,0.036,0.018,0.0321517944755,0.00200959253058,0.03,0.0165,15.9991610171
454,0.0275,0.016,0.024,0.015,0.026,0.047,0.018,0.0425,0.049,0.0162171252468,0.00262402978046,0.0295,0.0295,6.18023673648
455,0.025,0.021,0.043,0.0165,0.0175,0.016,0.0165,0.0345,0.0305,0.0211502685868,0.00229874905431,0.037,0.025,9.20077315404
456,0.036,0.03,0.0265,0.0475,0.0345,0.0405,0.0345,0.0455,0.027,0.0300046936121,0.00261514617274,0.0305,0.0275,11.4734288756
457,0.013,0.0455,0.037,0.0215,0.031,0.025,0.037,0.014,0.0295,0.0413405537149,0.00266032703442,0.035,0.032,15.5396510204
458,0.0105,0.0205,0.039,0.02,0.0165,0.026,0.0215,0.027,0.0315,0.034852303728,0.00254452326549,0.034,0.043,13.6969876443
459,0.018,0.043,0.043,0.0255,0.023,0.023,0.0145,0.0465,0.026,0.0220238281638,0.00204033443706,0.0225,0.0155,10.7942245956
460,0.047,0.0435,0.0435,0.023,0.025,0.033,0.015,0.041,0.0375,0.0346960460579,0.00247339309164,0.021,0.0225,14.0277120427
461,0.044,0.0285,0.0275,0.036,0.0465,0.02,0.022,0.035,0.0295,0.029019705208,0.00223237977877,0.0195,0.0255,12.9994481602
462,0.0385,0.0205,0.017,0.013,0.028,0.02,0.031,0.035,0.0365,0.0336034562139,0.00273675566442,0.0285,0.045,12.2785737327
463,0.0275,0.036,0.045,0.0425,0.0335,0.0145,0.0295,0.017,0.0175,0.0560984471657,0.00258121098254,0.028,0.0455,21.7333831079
464,0.0485,0.044,0.0145,0.019,0.026,0.022,0.0305,0.0215,0.026,0.0352503097021,0.00230926508642,0.0285,0.021,15.2647307186
465,0.0115,0.019,0.0475,0.0315,0.045,0.0135,0.0175,0.031,0.013,0.0181494981827,0.00164768211388,0.0175,0.0135,11.0151697526
466,0.038,0.018,0.025,0.0385,0.028,0.014,0.0445,0.043,0.0205,0.0331527559243,0.0027036910656,0.0315,0.04,12.2620355358
467,0.0345,0.0275,0.045,0.035,0.0145,0.0415,0.011,0.0315,0.02,0.0480691821359,0.00216286144957,0.015,0.036,22.2248087807
468,0.0115,0.026,0.042,0.036,0.0355,0.0195,0.027,0.042,0.041,0.0316661935474,0.00286154053839,0.031,0.0465,11.0661348747
469,0.0315,0.0155,0.049,0.012,0.0335,0.0385,0.026,0.0395,0.016,0.0455378675453,0.00297451239023,0.048,0.0465,15.3093554745
470,0.0285,0.0355,0.023,0.033,0.036,0.0465,0.042,0.022,0.033,0.0360991494947,0.00290250934305,0.04,0.0295,12.4372207728
471,0.0375,0.0175,0.0465,0.0175,0.048,0.0345,0.0105,0.045,0.0445,0.0245371521816,0.00257588932475,0.0215,0.031,9.52570125817
472,0.016,0.0275,0.018,0.0465,0.0485,0.0395,0.0255,0.012,0.0185,0.0350024234262,0.00244091844425,0.0465,0.03,14.339857814
473,0.0205,0.0435,0.042,0.021,0.016,0.0455,0.011,0.033,0.026,0.0397411795983,0.00226615966924,0.0265,0.027,17.5367959009
474,0.0145,0.0175,0.0165,0.0265,0.0345,0.038,0.0235,0.0305,0.0315,0.0261889398916,0.00220123325934,0.0185,0.035,11.8973942359
475,0.014,0.0405,0.0355,0.019,0.0225,0.024,0.043,0.0115,0.0275,0.0328873988144,0.00277407373356,0.049,0.024,11.8552720558
476,0.042,0.0205,0.0165,0.021,0.0345,0.0315,0.0375,0.023,0.048,0.0308091040029,0.00268524589492,0.011,0.0355,11.4734758784
477,0.019,0.042,0.0225,0.0295,0.0385,0.0225,0.024,0.0295,0.0145,0.0434626488555,0.00201935770721,0.0105,0.035,21.5230063997
478,0.0385,0.0155,0.0145,0.034,0.0425,0.029,0.0285,0.0185,0.02,0.0225122418376,0.00184159282633,0.0165,0.0155,12.2243318478
479,0.0315,0.042,0.026,0.0295,0.0415,0.037,0.0305,0.0305,0.036,0.022503863129,0.00244073688323,0.026,0.0125,9.2201102395
480,0.0175,0.046,0.0285,0.019,0.021,0.0315,0.0205,0.0485,0.013,0.0294249032757,0.00184510070935,0.012,0.0185,15.9475865608
481,0.028,0.0205,0.014,0.042,0.0485,0.026,0.013,0.0235,0.013,0.0383322724038,0.00210152775602,0.0305,0.0385,18.2401932565
482,0.042,0.0115,0.0205,0.0175,0.0185,0.0115,0.0455,0.0195,0.0335,0.0261580547033,0.0025550403415,0.0265,0.0315,10.2378245378
483,0.0385,0.035,0.0475,0.042,0.0365,0.0265,0.037,0.0225,0.0405,0.0421479904524,0.00290741988074,0.0275,0.034,14.4966988537
484,0.017,0.0495,0.015,0.0355,0.0265,0.0435,0.0145,0.032,0.0255,0.0335106610775,0.00206624879746,0.0235,0.024,16.2181152235
485,0.0485,0.0395,0.0365,0.0185,0.043,0.043,0.039,0.03,0.02,0.05585294055,0.00308515888609,0.0395,0.0405,18.103748498
486,0.025,0.034,0.0475,0.012,0.013,0.0465,0.035,0.014,0.0345,0.0271228339944,0.0027573407798,0.046,0.0115,9.83659117984
487,0.046,0.0315,0.028,0.0245,0.012,0.011,0.035,0.0285,0.042,0.0405685838416,0.00279503006155,0.022,0.043,14.5145429381
488,0.018,0.044,0.019,0.0235,0.0145,0.026,0.0475,0.0215,0.011,0.0439568167344,0.00268731997489,0.0435,0.034,16.3571205309
489,0.037,0.0305,0.023,0.023,0.0395,0.0415,0.0135,0.02,0.0235,0.0363042868999,0.00234460260666,0.0395,0.0265,15.4841962543
490,0.0275,0.04,0.0285,0.029,0.0375,0.0245,0.0255,0.024,0.049,0.0415169332075,0.00310137201274,0.0375,0.047,13.3866343789
491,0.0155,0.017,0.0465,0.037,0.0375,0.0435,0.0425,0.0405,0.042,0.0246116976709,0.00298174410298,0.03,0.033,8.25412806093
492,0.0195,0.0265,0.044,0.0315,0.017,0.044,0.0285,0.039,0.0295,0.0455546506489,0.00307382604855,0.044,0.0495,14.8201784777
493,0.0205,0.013,0.026,0.0425,0.015,0.0305,0.0455,0.026,0.03,0.028211017896,0.00253844094171,0.0245,0.034,11.1135214661
494,0.04,0.0405,0.016,0.0315,0.037,0.037,0.0495,0.012,0.0175,0.0497794031859,0.00249376382455,0.0145,0.0295,19.9615547775
495,0.0325,0.0165,0.0355,0.0375,0.043,0.0375,0.0245,0.0355,0.034,0.0267510216969,0.00231065034794,0.0145,0.0275,11.5772694561
496,0.029,0.023,0.0105,0.021,0.039,0.029,0.028,0.0295,0.011,0.0262840674983,0.00213279362101,0.037,0.024,12.3237744334
497,0.011,0.0445,0.0145,0.028,0.037,0.0425,0.038,0.0245,0.018,0.0449637841417,0.00239497264788,0.018,0.036,18.7742370175
498,0.0375,0.0355,0.0485,0.0175,0.019,0.0445,0.0175,0.0215,0.0395,0.0431022764901,0.00301188534921,0.0485,0.0335,14.3107294909
499,0.018,0.0465,0.0315,0.0335,0.049,0.02,0.0485,0.0125,0.03,0.036777273695,0.00260691516483,0.023,0.0245,14.1075836264
500,0.048,0.0445,0.02,0.0275,0.0125,0.0105,0.0445,0.027,0.0155,0.044459028999,0.00270052674889,0.041,0.032,16.4630952155
501,0.035,0.0345,0.027,0.0395,0.02,0.01,0.0265,0.0475,0.0475,0.00791263717156,0.00225126884616,0.011,0.0125,3.51474555563
502,0.0255,0.043,0.036,0.0305,0.035,0.0285,0.024,0.0325,0.043,0.0287916141247,0.00287338795941,0.0435,0.028,10.0200928421
503,0.0445,0.0135,0.0235,0.0495,0.0235,0.013,0.014,0.0375,0.0405,0.0138662034487,0.00259437201724,0.047,0.0265,5.34472440981
504,0.048,0.0195,0.011,0.045,0.034,0.04,0.0355,0.0215,0.0295,0.0482408236768,0.00274918041702,0.023,0.0475,17.5473473396
505,0.019,0.0145,0.0255,0.0395,0.0335,0.0395,0.011,0.0385,0.013,0.0292285051626,0.00184051724581,0.02,0.0305,15.8805929307
506,0.027,0.015,0.0205,0.0245,0.0105,0.011,0.016,0.0245,0.0315,0.0126563674023,0.00184720095606,0.027,0.019,6.85164619515
507,0.023,0.034,0.03,0.033,0.018,0.0425,0.0115,0.042,0.038,0.0172102423158,0.00203640866716,0.015,0.014,8.45127139428
508,0.047,0.022,0.033,0.0175,0.015,0.0125,0.0345,0.0305,0.012,0.0377463289174,0.00241173812977,0.0365,0.031,15.6510893332
509,0.049,0.0435,0.0135,0.02,0.021,0.039,0.031,0.035,0.0305,0.0324204097876,0.00261176846839,0.0355,0.022,12.4132020813
510,0.024,0.0455,0.019,0.011,0.021,0.018,0.0285,0.015,0.029,0.048449768372,0.00232360182012,0.013,0.0415,20.8511492599
511,0.0205,0.0195,0.0355,0.0405,0.049,0.0115,0.047,0.024,0.028,0.0286440733429,0.00248506703518,0.0165,0.031,11.5264791402
512,0.012,0.02,0.041,0.037,0.031,0.014,0.037,0.0455,0.044,0.007485303669,0.00238539701788,0.013,0.02,3.13796974377
513,0.015,0.019,0.0105,0.0235,0.0195,0.0285,0.028,0.035,0.022,0.0240287126383,0.00214213156701,0.0275,0.0335,11.2171973974
514,0.0305,0.0295,0.047,0.0325,0.0485,0.01,0.0205,0.015,0.023,0.0251574216777,0.00194794917927,0.0235,0.011,12.9148244448
515,0.031,0.011,0.015,0.036,0.025,0.0315,0.0195,0.0355,0.0395,0.00569113590773,0.00200079898917,0.0195,0.0145,2.84443161884
516,0.0345,0.037,0.0395,0.0445,0.031,0.04,0.019,0.019,0.016,0.0451446170453,0.00228055419498,0.0335,0.025,19.7954589918
517,0.0395,0.0395,0.0135,0.0245,0.032,0.0105,0.0175,0.0375,0.0165,0.0314298258428,0.00232251464159,0.0435,0.029,13.532670701
518,0.0115,0.01,0.013,0.0185,0.047,0.0375,0.036,0.0345,0.021,0.0105202141881,0.00246478523394,0.047,0.022,4.26820724309
519,0.042,0.0275,0.049,0.0355,0.0185,0.0185,0.039,0.0385,0.0345,0.0178846790682,0.00269092892302,0.0375,0.012,6.64628445413
520,0.0395,0.0385,0.0325,0.0365,0.0105,0.02,0.0435,0.0495,0.035,0.0240783485223,0.00279848059557,0.0335,0.023,8.60407914226
521,0.012,0.0395,0.0355,0.0425,0.0235,0.021,0.041,0.0185,0.027,0.0343462013802,0.0024690990354,0.03,0.027,13.9104186943
522,0.017,0.0115,0.042,0.0115,0.0275,0.025,0.019,0.028,0.036,0.00652198402026,0.00200536981822,0.0245,0.0105,3.25225998766
523,0.037,0.0225,0.039,0.012,0.034,0.039,0.021,0.0275,0.0185,0.0266593493077,0.00229392567306,0.04,0.015,11.6217145223
524,0.0355,0.012,0.044,0.021,0.0115,0.017,0.0305,0.035,0.037,0.0297748730863,0.00268690234837,0.0305,0.0385,11.081486867
525,0.0155,0.04,0.0355,0.024,0.0305,0.0295,0.047,0.0485,0.01,0.0416429764671,0.00252131097837,0.013,0.0345,16.5163983437
526,0.0495,0.042,0.026,0.028,0.03,0.0135,0.0265,0.046,0.048,0.0268300520647,0.00314928381375,0.0475,0.033,8.51941382596
527,0.0315,0.0115,0.0475,0.0155,0.0325,0.03,0.017,0.035,0.017,0.0265582892398,0.00223065119764,0.0365,0.024,11.9060699709
528,0.043,0.031,0.0325,0.038,0.0335,0.0215,0.0365,0.0385,0.021,0.0468595515681,0.00311748985067,0.0495,0.0465,15.0311801522
529,0.034,0.038,0.032,0.01,0.0315,0.033,0.032,0.03,0.028,0.0310277533481,0.00256003293982,0.0355,0.0215,12.1200602014
530,0.0305,0.024,0.036,0.043,0.02,0.0485,0.0275,0.023,0.049,0.0312337802663,0.00254201141116,0.011,0.028,12.2870338541
531,0.016,0.0135,0.028,0.0235,0.0415,0.0465,0.029,0.0205,0.025,0.0268171536088,0.00257037084478,0.0455,0.029,10.4331846368
532,0.0105,0.0315,0.0275,0.015,0.019,0.0205,0.015,0.0435,0.013,0.0373395320634,0.00209993623333,0.0235,0.0415,17.7812694837
533,0.0195,0.0265,0.038,0.0365,0.0225,0.0255,0.0305,0.037,0.026,0.0111553111536,0.00247098401521,0.0485,0.01,4.51452177955
534,0.0475,0.0125,0.0405,0.025,0.0255,0.033,0.0495,0.039,0.022,0.0482007030766,0.0030810688828,0.0275,0.0485,15.6441497773
535,0.0455,0.047,0.0415,0.0115,0.034,0.048,0.015,0.0495,0.036,0.0328086349465,0.00244440427677,0.0125,0.0175,13.4219348486
536,0.047,0.0485,0.0475,0.03,0.013,0.0335,0.0285,0.04,0.024,0.0470970432628,0.00247490766815,0.0165,0.026,19.0298183116
537,0.0355,0.0415,0.027,0.046,0.0365,0.0285,0.026,0.0265,0.022,0.0554879121403,0.00246961804058,0.015,0.045,22.4682162296
538,0.0475,0.0205,0.0405,0.0455,0.0125,0.0395,0.018,0.045,0.017,0.0394654610287,0.0021299687019,0.014,0.0295,18.5286577185
539,0.043,0.0325,0.0445,0.0345,0.031,0.047,0.0425,0.0355,0.0165,0.0568979487349,0.00322229417533,0.0445,0.0445,17.6575897913
540,0.018,0.0475,0.0415,0.0435,0.0255,0.025,0.0385,0.025,0.037,0.0450184922805,0.00281733286047,0.025,0.0385,15.9791173106
541,0.043,0.0245,0.0335,0.032,0.011,0.0485,0.0165,0.03,0.0135,0.0399999062329,0.00247203183582,0.0475,0.027,16.1809834539
542,0.0205,0.044,0.0245,0.038,0.0215,0.0495,0.046,0.0185,0.0475,0.0301999450742,0.00304812403316,0.037,0.0235,9.90771528509
543,0.02,0.02,0.0495,0.0115,0.035,0.027,0.017,0.0305,0.044,0.032582503889,0.00285945632519,0.036,0.0425,11.3946499556
544,0.046,0.0345,0.0135,0.042,0.0295,0.03,0.036,0.0485,0.0225,0.0315815961403,0.00243442539162,0.0225,0.028,12.9729160109
545,0.0315,0.0485,0.013,0.049,0.0275,0.036,0.0245,0.0285,0.023,0.0367333973551,0.00204659592188,0.016,0.022,17.9485344237
546,0.027,0.013,0.016,0.032,0.0185,0.0195,0.019,0.036,0.0325,0.0164509284823,0.00187552597033,0.013,0.027,8.7713680016
547,0.012,0.0405,0.0495,0.049,0.044,0.0375,0.011,0.0285,0.0275,0.0349928814538,0.00246487004816,0.0395,0.026,14.1966435431
548,0.048,0.027,0.046,0.023,0.011,0.0465,0.0265,0.018,0.0245,0.0632856947889,0.00292067330542,0.033,0.049,21.6681868086
549,0.036,0.015,0.0145,0.0265,0.0235,0.0105,0.0135,0.025,0.0135,0.0269681387789,0.00168780720111,0.0235,0.0275,15.9782105214
550,0.014,0.0355,0.0285,0.033,0.0165,0.028,0.033,0.0455,0.018,0.0228206092093,0.00204040810429,0.0185,0.019,11.1843357029
551,0.04,0.034,0.0235,0.013,0.041,0.0235,0.0395,0.03,0.0425,0.0426545448711,0.00330494920594,0.0405,0.049,12.9062633684
552,0.042,0.0365,0.023,0.0385,0.03,0.0275,0.0155,0.042,0.0245,0.0222235173442,0.00196788852422,0.021,0.013,11.2930773622
553,0.0355,0.0485,0.0435,0.041,0.048,0.0455,0.041,0.019,0.0165,0.0592417496746,0.00298007831468,0.0385,0.035,19.8792593412
554,0.0225,0.0135,0.041,0.028,0.0275,0.0135,0.0465,0.0215,0.0115,0.0337356700205,0.00242181142501,0.0315,0.031,13.9299326414
555,0.04,0.0425,0.029,0.047,0.0225,0.026,0.0355,0.032,0.0105,0.0458715034319,0.00240641533854,0.03,0.029,19.0621721435
556,0.044,0.011,0.0495,0.012,0.012,0.0325,0.0335,0.037,0.024,0.0292023979123,0.00241541576481,0.0255,0.024,12.0900088249
557,0.047,0.045,0.022,0.0195,0.0455,0.036,0.032,0.0235,0.0265,0.0394557939268,0.00261111803997,0.034,0.023,15.1106894912
558,0.034,0.0245,0.0325,0.032,0.039,0.011,0.0155,0.028,0.0255,0.016700956001,0.0023005820306,0.0475,0.0155,7.25944816523
559,0.045,0.017,0.0205,0.023,0.0485,0.01,0.0195,0.024,0.021,0.0201043440802,0.00198926649115,0.031,0.018,10.1064106642
560,0.029,0.018,0.0225,0.016,0.0435,0.018,0.03,0.043,0.0405,0.0246636611578,0.00266574603351,0.0225,0.0415,9.25206709409
